,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
COL1A1,0.0,0.0,0.0,3.5507934,0.0,0.0,0.0,0.0,2.6551776
CYP1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918545
PPIB,2.9297516,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,2.2173874
NDUFB4,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBA1B,0.0,0.0,0.0,2.8272102,0.0,0.0,2.6237786,0.0,1.9918545
HSPB1,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,3.0062912
TM4SF1,0.0,0.0,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
CALM1,0.0,0.0,0.0,2.8332133,0.0,0.0,0.0,0.0,0.0
RPS9,2.5979676,0.0,2.7581856,0.0,3.1178734,0.0,2.6237786,3.085428,2.762336
SUB1,1.4211475,0.0,0.0,2.8332133,0.0,0.0,0.0,0.0,1.9918545
CPB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6411495,0.0
NNMT,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,2.9574163
RPL6,1.1768202,2.6092448,2.949359,2.6381292,3.001737,0.89986014,2.681394,2.8701086,2.9704857
HSP90AA1,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7272826
ENSG00000211897,2.4824796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM59,2.4940798,0.0,1.2460434,0.0,0.0,2.8206415,0.0,0.0,0.0
ALOX5AP,0.0,0.0,0.0,0.0,0.0,0.0,3.8130195,0.0,0.0
ENSG00000211895,1.546716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTL,1.3551934,0.0,0.0,0.0,0.0,0.0,4.956735,0.0,3.4659781
REG1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.788679,0.0
PPIA,0.0,1.5203605,0.0,2.8332133,0.0,0.0,2.7992365,0.0,2.6551776
CTHRC1,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,2.3588278
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,2.9891067,0.0,0.0
MFAP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373705
REG3G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.482951,0.0
HSPA8,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS28,2.672453,2.7403517,3.0714538,2.6381292,3.10761,0.0,0.0,2.9682941,2.6551776
HINT1,2.5979676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASE1,0.0,0.0,2.6230612,0.0,0.0,0.0,0.0,0.0,0.0
RPS10,1.1768202,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,1.7272826
GAPDH,0.0,0.0,1.3770176,2.8272102,0.0,0.0,2.8638523,0.0,2.5742302
FABP5,0.0,0.0,2.888441,0.0,0.0,0.0,0.0,0.0,0.0
PRSS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326556,0.0
GSTO1,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
MT1E,0.0,0.0,0.0,0.0,3.3253832,0.0,0.0,3.5232596,0.0
EEF1B2,1.4211475,0.0,0.0,2.603848,2.401093,0.0,2.373705,2.6594927,2.5221024
FAU,1.3172597,0.0,0.0,0.0,0.0,0.0,2.519998,0.0,2.511632
FN1,0.0,0.0,0.0,5.240342,0.0,0.0,0.0,0.0,3.9269361
DYNLL1,1.0408161,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
DDX5,0.0,2.8726497,2.9740312,0.0,0.0,0.0,0.0,0.0,2.3273454
GAS5,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS17,3.2996473,3.0630746,2.6272116,3.4965076,3.3895733,2.506079,3.0145464,3.3683586,3.003556
RPL10,3.883916,3.6155314,2.7581856,3.4903219,4.126741,2.6769717,3.4035203,3.8957467,3.7279894
