,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
ENSG00000161249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189001,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,2.3978953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105677,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126267,0.0,0.0,0.6931472,1.0986123,1.0986123,1.9459102,1.9459102,1.0986123,1.609438,1.3862944,1.609438,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.0
ENSG00000126264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472
ENSG00000011600,0.0,0.0,0.0,2.1972246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,1.9459102,0.6931472,0.0,0.0,0.0
ENSG00000105258,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126247,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167642,0.0,0.0,0.0,0.6931472,1.0986123,1.3862944,1.3862944,1.0986123,1.0986123,1.609438,1.9459102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167644,0.0,0.0,0.0,0.0,0.6931472,0.6931472,1.0986123,0.6931472,1.609438,1.0986123,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099341,0.0,0.0,0.0,0.0,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178982,0.0,0.0,0.6931472,0.6931472,1.3862944,1.9459102,1.3862944,1.3862944,0.6931472,1.0986123,1.3862944,0.6931472,0.3465736,0.6931472,0.0,0.6931472,0.6931472,0.0
ENSG00000130402,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178934,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104823,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128626,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3025851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
