,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
ARHGEF10L,0.6681032736532585,0.0,0.0,0.6666666666666666,0.0,0.0,0.7739294569697953
UBR4,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8589522347057884
CAPZB,0.16666666666666666,0.27602988986289917,0.2106595895307635,0.5454282612240123,0.34293150559957314,0.0,0.2978398648649374
PLA2G5,0.0,0.0,0.6666666666666666,0.0,0.7238522740105774,0.0,0.737559630254956
HP1BP3,0.0,0.015669843563557422,0.15412493125418222,0.05580789764387475,0.2057424748746536,0.08648858239428958,0.04852686272465826
EIF4G3,0.0,0.22670259190060849,0.13612886351396422,0.35093962235703424,0.12221414645922285,0.020176519953610545,0.07719330819701374
ECE1,0.0,0.5275373937366783,0.34395822791660263,0.0,0.37625596546037005,0.3683594872232942,0.3333333333333333
USP48,0.4387523020387141,0.0,0.5367755012989752,0.41388737983584506,0.3333333333333333,0.0,0.3866340237428343
HSPG2,0.3333333333333333,0.5810386176984382,0.47569350521368414,0.0,0.0,0.4873777744446007,0.36400111454371986
CDC42,0.8333333333333334,0.9261595694947989,0.0,0.0,0.0,0.0,0.0
LUZP1,0.8333333333333334,0.8912644699181392,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.3333333333333333,0.0,0.4940348286088206,0.0,0.5125601636656795,0.49669379748952225,0.3919411707454085
TCEA3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAP3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ID3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ELOA-AS1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF10,0.4004237477402574,0.3333333333333333,0.3545056646707734,0.0,0.42054570265391716,0.0,0.4856203459803661
MYOM3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.6830137498201524,0.0,0.6666666666666666,0.0,0.0,0.0,0.7044929138699022
CLIC4,0.23811608152586938,0.2871719181552761,0.16666666666666666,0.0,0.20004419594636733,0.6282223826671423,0.2823124423372772
RSRP1,0.0,0.08738895707625201,0.2296861617380583,0.09406290447481892,0.11942285990470798,0.04500835677508876,0.03380319260381529
MACO1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAN1C1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP85,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID1A,0.0,0.08959139793952614,0.0070457518925159945,0.35984821589166743,0.14970039828807313,0.1477534837777056,0.12817309521654333
WDTC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WASF2,0.0,0.25763729704948757,0.14649301475119442,0.35652338065281874,0.1479614207884379,0.0834708551152038,0.06686839778392269
AHDC1,0.8333333333333334,0.0,0.9015334119471454,0.0,0.0,0.0,0.0
STX12,0.6666666666666666,0.0,0.0,0.7867372424166182,0.0,0.0,0.8158340326843665
EYA3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PHACTR4,0.11515701406696038,0.2106927543022766,0.0,0.1560158116182448,0.038303316050304737,0.23194152145138705,0.03362664338534047
TAF12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF4,0.16666666666666666,0.3006401554470608,0.17747759180148795,0.18985683112656257,0.2294745337510374,0.0,0.24792886294630279
PUM1,0.0026535706335717446,0.06344669883739433,0.0728160037681075,0.19248434949558693,0.11516335621724405,0.0,0.07133015079205707
ZCCHC17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FABP3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TINAGL1,0.0,0.6666666666666666,0.0,0.0,0.7067952703538968,0.0,0.7262798883438341
PTP4A2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KHDRBS1,0.6666666666666666,0.0,0.7020443068527792,0.0,0.8133499714732654,0.0,0.0
KPNA6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB8OS,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RBBP4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S100PBP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AK2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225313,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PHC2,0.6350705605091566,0.0,0.5,0.0,0.5411459802983714,0.0,0.6280451987399306
GJA4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZMYM6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SFPQ,0.02355581277803694,0.055194812060431864,0.10870769610102159,0.0,0.10577221430722837,0.05599193020974632,0.08057391050624814
ZMYM4,0.08443582666862487,0.01930924117434026,0.08937304286636615,0.0296762628671244,0.21793490555198303,0.0,0.012109095880961299
KIAA0319L,0.1749143297515272,0.10848814213424529,0.05937530640522842,0.044973559130147445,0.04952642266019721,0.2226481275492405,0.0
AGO4,0.6666666666666666,0.0,0.7012438746744247,0.8156588026503178,0.0,0.0,0.0
AGO3,0.0,0.01089105124385035,0.14630021276894942,0.052500233547360685,0.04483884928236431,0.1214437781632466,0.08156551966544519
MAP7D1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
THRAP3,0.2137736282119265,0.0,0.026498370705790215,0.012911517731963048,0.11875801347650587,0.030879895766760552,0.1534037918162255
GRIK3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
INPP5B,0.6666666666666666,0.0,0.6783270781099596,0.0,0.0,0.0,0.8534621484282215
AKIRIN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACF1,0.0795638993540691,0.2031487122059056,0.055001690350847086,0.14729809930066037,0.07600622014144283,0.0,0.22686868000632932
HEYL,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CAP1,0.0,0.0,0.0,0.9129959253397985,0.0,0.8333333333333334,0.0
RLF,0.6666666666666666,0.0,0.6943224637435179,0.6809965154025841,0.0,0.0,0.0
SMAP2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NFYC,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SCMH1,0.3509104189744831,0.16666666666666666,0.35225872772103567,0.0,0.31828140284023215,0.22679668995544147,0.26093741361799866
HIVEP3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXJ3,0.12036042714158147,0.067305737734224,0.02126526362744428,0.0,0.028494818607383326,0.13707601741299255,0.07997538053718813
YBX1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SZT2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3GAL3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF2B3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NASP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GPBP1L1,0.3891985304058114,0.39782007474890513,0.3333333333333333,0.42924891618594235,0.35421761405525715,0.0,0.0
MAST2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3R3,0.8333333333333334,0.9689516801742881,0.0,0.0,0.0,0.0,0.0
LRRC41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCRH,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MKNK1,0.8333333333333334,0.0,0.0,0.9753573850566349,0.0,0.0,0.0
ATPAF1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRABD2B,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPATA6,0.0,0.0,0.7720273789923495,0.0,0.6666666666666666,0.7530089870632608,0.0
FAF1,0.1357616179007446,0.0028199501371465874,0.0034612515173295852,0.0502147276456462,0.010901049134015814,0.0,0.039518041271314676
EPS15,0.015514541084912847,0.0,0.16025024518752384,0.3674023872669993,0.03232189119456741,0.00966473663749066,0.0725674392338491
OSBPL9,0.2509442111649791,0.0,0.33132165957375365,0.16666666666666666,0.2148756034358854,0.2737889494013452,0.20420458667095173
NRDC,0.1915453781597404,0.16666666666666666,0.23527837782047914,0.21977885677973133,0.19139489029665135,0.0,0.19927745764100777
