,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
FCGRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8028677,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM4A,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,2.1065965,0.0,2.6188297,0.0,0.0,0.0,0.0,0.0
ENSG00000211896,0.0,0.0,2.9488075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGDIB,2.8971977,0.0,0.0,2.7077725,2.915173,0.0,0.0,0.9983948,0.0,0.0,2.9085855,2.8732533,3.0275412,1.9105867,0.0,3.2250404
CYCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.380161,1.3220898,2.6738229,0.0,0.0,0.0,0.0
UQCRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6536462,3.0053785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS26,3.1387522,2.7336197,2.5488553,2.8935657,3.1345382,0.0,2.9085948,3.4437978,2.7679136,2.459668,0.0,2.8242235,2.5311246,2.816801,0.0,3.2032652
SERPING1,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000257698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99811983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRT7,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGALS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFB1,0.0,0.0,0.0,0.0,0.0,0.0,4.4673996,0.0,3.4704947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX4I1,2.4407964,0.0,0.0,0.0,0.0,0.0,3.3099737,2.5611975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
