,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000117713,0.0,0.0,1.9865968,0.9672568,0.940143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869448,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090273,0.0,0.0,5.8574944,1.948147,0.9991068,0.0,1.9270084,0.9968572,0.0,0.0,0.9801816,0.0,1.9956836,2.9588253,0.9062818,0.0,0.0,1.9474114,0.9977372
ENSG00000131910,0.0,0.0,0.9942901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142784,0.0,0.0,0.44833657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186501,0.0,0.0,0.9007601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158195,0.0,0.0,3.9795198,1.9471529,0.98722875,1.9759732,0.99257076,0.9241886,0.0,2.9958591,0.9907139,0.99197876,1.9373132,1.994053,0.0,0.0,0.0,1.9592946,0.9955899
ENSG00000126709,0.0,0.0,0.95268595,0.0,0.0,0.9862231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979415,0.0,0.0,0.0,0.0,0.0
ENSG00000117758,0.0,0.0,0.9960402,0.0,0.0,0.0,0.9180968,0.0,0.0,0.0,0.0,0.0,0.9471685,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117748,0.0,0.0,1.4505612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98744017,0.4801141,0.0,0.0,0.0,0.0,0.0
ENSG00000158161,0.0,0.0,1.4636729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947217,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126698,0.0,0.9722689,4.8220367,0.99503136,1.9278678,0.97133774,1.9524932,0.9988512,0.0,0.99075085,0.98385656,0.0,1.9954429,1.9684001,0.9456303,0.48221317,0.0,1.8512619,0.9972351
ENSG00000130770,0.0,0.9970634,19.998924,5.9635286,6.642097,0.914364,6.5376225,3.7150323,1.9590597,0.94129,0.992673,0.0,10.9749775,6.4497128,3.9739716,0.9943938,0.0,4.9697065,3.8716257
ENSG00000204138,0.0,0.0,0.9911493,0.9589048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94366705,0.9761584,0.0,0.99840504,0.0,0.9846767,0.0
ENSG00000180098,0.0,0.0,0.93753695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120656,0.0,0.0,0.979053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198492,0.0,0.0,2.982841,0.96911454,0.94314826,0.0,0.9812778,0.9654516,0.0,0.0,0.0,0.0,0.9932569,0.9785197,0.0,0.0,0.0,0.9681229,0.9704542
ENSG00000159023,0.0,0.0,0.91733867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116350,0.0,0.0,2.8815866,0.9849107,0.9527645,0.9555032,0.98558354,0.0,0.0,0.0,0.0,0.0,0.99601316,0.98424685,0.0,0.0,0.0,0.97998583,0.9885309
ENSG00000116353,0.0,0.0,0.92360973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,1.993072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9957454,0.0,0.99090326,0.0,0.0,0.0,0.0,0.99450845,0.0,0.0
ENSG00000134644,0.0,0.0,1.9840062,0.9627588,0.9171065,0.0,0.9492307,0.0,0.0,0.0,0.0,0.0,0.99321955,0.9937916,0.0,0.0,0.0,0.9958385,0.9881041
ENSG00000060688,0.0,0.0,0.9925284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121766,0.0,0.0,1.9871602,0.9357048,0.9456322,0.0,0.93799216,0.0,0.0,0.0,0.0,0.0,0.98496354,0.97741264,0.0,0.0,0.0,0.0,0.0
ENSG00000121769,0.0,0.0,0.0,0.9970183,1.6741586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168528,0.0,0.0,3.9957275,0.99364233,0.99696326,0.0,0.99620724,0.96857345,0.0,0.0,0.0,0.0,1.9857333,0.0,0.0,0.0,0.0,0.9550945,0.0
ENSG00000142910,0.0,0.0,0.9777287,0.0,0.0,0.99903715,0.0,0.0,0.0,0.0,1.9981136,0.0,0.91206366,0.96635187,0.0,0.0,0.0,0.99747175,0.9928267
ENSG00000162517,0.0,0.0,1.9178369,0.0,0.0,0.0,0.94576323,0.0,0.0,0.0,0.0,0.0,0.9621699,0.980489,0.0,0.0,0.0,0.0,0.0
ENSG00000184007,0.0,0.96920633,6.8700705,0.99035597,0.98576844,0.0,1.9833262,0.9972439,0.0,0.9955601,0.0,0.9955409,3.971889,1.9762776,0.0,0.97149277,0.9924294,0.99358666,0.9896311
ENSG00000121774,0.0,0.0,4.8669195,0.98792315,0.98152626,0.0,1.8898143,0.97774917,0.0,0.99111307,0.9681209,0.0,1.9813274,1.9763949,0.0,0.0,0.0,1.9318998,0.9941843
ENSG00000025800,0.0,0.0,1.9373666,0.0,0.0,0.0,0.9315699,0.0,0.0,0.0,0.0,0.0,0.9706431,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084623,0.0,0.9562894,3.9889965,0.9889995,0.9729547,0.0,1.8890777,0.9952088,0.0,0.0,0.0,0.0,1.9172331,0.99861157,0.95754504,0.0,0.0,1.8884909,0.9823332
ENSG00000183615,0.0,0.0,0.0,0.0,0.0,0.97831833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116478,0.0,0.0,1.9902267,0.0,0.0,0.0,0.97122955,0.96567714,0.0,0.0,0.0,0.0,0.9905647,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175130,0.0,0.0,2.7633247,0.0,0.0,0.0,0.9861722,0.9926316,0.0,0.0,0.0,0.0,0.0,0.92586327,0.0,0.0,0.0,0.92643386,0.0
ENSG00000225828,0.0,0.0,0.9963397,0.0,0.0,0.0,0.99571353,0.98905134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160058,0.0,0.0,0.9843234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176261,0.0,0.0,1.9027174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95896465,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162521,0.0,0.0,2.9081545,0.9825692,0.9815981,0.0,0.97573376,0.95431364,0.0,0.0,0.0,0.0,0.994016,0.9929068,0.0,0.0,0.0,0.98075324,0.98885113
ENSG00000162520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9417436,0.0,0.0,0.0,0.0,0.0
ENSG00000162522,0.0,0.0,0.99053264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98010236,0.0,0.0,0.0,0.0,0.0,0.0
