,acinar,acinar_minor_mhcclassII,alpha,beta_major,beta_minor,delta,duct_acinar_related,duct_major,endothelial,epsilon,hybrid,immune_stellates,pp,stellates
ENSG00000164258,0.0,0.0,0.4223767,0.36775213,0.0,0.3357424,0.60907465,0.7239607,0.0,0.0,0.0,0.0,0.0,0.5907531
ENSG00000145284,0.0,0.0,0.0,0.25844556,0.0,0.0,0.0,0.45903552,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232119,0.0,0.0,0.0,0.25072533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45138335,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137409,0.0,0.12949201,0.9876245,0.7944836,0.60880256,0.7615919,1.215802,1.158139,0.74012935,0.0,0.5397122,0.0,0.58084965,0.92339957
ENSG00000105518,0.0,0.0,0.53468686,0.4226392,0.2260944,0.5295558,0.70996165,0.858161,0.0,0.0,0.0,0.0,0.0,0.3859933
ENSG00000006125,0.0,0.0,0.0,0.34121302,0.0,0.21548675,0.3255031,0.45313093,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169976,0.5134193,0.9192002,1.0547806,0.93851316,0.77898103,0.885124,1.1343642,1.1881549,1.1545241,0.0,0.711568,0.0,0.4937988,1.2572904
ENSG00000082153,0.17423157,0.39110893,0.87594736,0.23874763,0.0,0.0,1.196197,0.98291737,1.1770926,0.0,0.4810924,0.0,0.38778245,1.002434
ENSG00000119888,0.4258179,0.90513265,1.7962022,1.0911572,0.8671403,1.4396361,2.0588987,2.231135,0.0,1.3414719,1.1050806,0.0,1.3328927,0.0
ENSG00000187479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7181287,0.0,0.0,0.0,0.0,1.8109199
ENSG00000136718,0.0,0.0,0.0,0.1460401,0.0,0.0,0.3829028,0.50584245,0.0,0.0,0.0,0.0,0.0,0.6445179
ENSG00000100079,0.14463511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243317,0.0,0.0,0.48564005,0.6246642,0.43378985,0.45660406,0.3353052,0.81106913,0.0,0.0,0.459347,0.0,0.0,0.67540336
ENSG00000179632,0.0,0.0,0.0,0.2682495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508945
ENSG00000015413,0.43429697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765368
ENSG00000198380,0.0,0.0,0.3802374,0.30906305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173511,0.0,0.0,0.0,0.38369992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000096696,0.21662079,0.0,0.5155091,0.33780324,0.0,0.19539158,0.8945292,0.81514066,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100219,1.2179563,1.3658851,1.42421,1.2360535,1.1144164,1.3118316,1.1083224,1.0273747,0.0,0.0,0.9156314,0.0,1.0954225,1.1991923
ENSG00000121064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57767594
ENSG00000114023,0.33339238,0.0,0.0,0.43785167,0.0,0.24325284,0.0,0.44575673,0.0,0.0,0.0,0.0,0.0,0.47966892
ENSG00000095059,0.0,0.0,0.0,0.2918675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161016,3.2203355,3.7586386,3.1334362,2.9676032,2.9050102,2.9210956,3.41039,3.3608987,3.1685324,2.8220282,3.2040315,3.3767412,2.9301531,3.3316474
ENSG00000118946,0.0,0.0,0.9217858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19229715,0.0
ENSG00000092068,0.0,0.0,0.70760435,0.3378839,0.0,0.27798906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134809,0.0,0.0,0.0,0.15563631,0.0,0.0,0.0,0.41836852,0.0,0.0,0.0,0.0,0.0,0.34101328
ENSG00000060971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44314623,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147669,0.0,0.0,0.7946833,0.5956992,0.3974883,0.5877274,0.67264736,0.898114,0.7375619,0.0,0.5517384,0.0,0.0,0.7650628
ENSG00000003989,0.0,0.0,1.0387385,0.16919021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126218,0.0,0.0,1.1530702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137714,0.35692585,0.0,0.0,0.0,0.0,0.0,0.83477366,0.6321466,0.0,0.0,0.0,0.0,0.0,0.38345885
ENSG00000157954,0.0,0.0,0.0,0.0,0.0,0.0,0.23753296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000113575,0.12240325,0.0,0.4099226,0.295992,0.0,0.0,0.72234046,0.65212977,0.0,0.0,0.0,0.0,0.0,0.40430236
ENSG00000196419,0.0,0.0,0.9311621,0.3796646,0.0,0.44295335,0.93065786,0.90118635,0.9190428,0.0,0.5176519,0.0,0.67907536,0.74907744
ENSG00000142168,0.24206938,0.70848083,1.4861335,1.4432656,1.3520055,1.2963331,1.6665192,1.8274964,1.3874395,0.0,1.1408765,0.7968856,1.0249624,1.5561564
