Original_annotation,mean,std,median,count,q1,q3,f_score
AT1,-0.4457979628101483,0.1713653870426635,-0.49292104999999997,1754,-0.57500449,-0.34358778,0.6167716084716657
cDC1,-0.47163129949748744,0.1433708298581358,-0.4999741,199,-0.570362635,-0.42426874000000003,0.5889724310776943
CD8_TRM/EM,-0.4709547895602463,0.12889922736170079,-0.5145499,1137,-0.5630106,-0.40241635,0.1727054842802763
Adventitial Fibroblast,-0.4561100851885099,0.21423166756530182,-0.5273637,557,-0.6445528,-0.20789324,0.6071118820468343
DC_Mature,-0.45287577178807953,0.1494467216906923,-0.53006667,151,-0.550508035,-0.32563628,0.5988857938718662
CD8_TRM,-0.48691633169144605,0.1347819936167564,-0.534763285,982,-0.58324562,-0.4393170475,0.1856649395509499
Mesothelia,-0.49982739070000004,0.17168253996047134,-0.54194375,90,-0.652789475,-0.379394195,0.62
Blood_vessel,-0.5506318243615442,0.13189803603660377,-0.544673935,2694,-0.635696815,-0.4795110025,0.4230006609385327
Macro_interstitial,-0.5539505868924303,0.1286091972226458,-0.5465469,251,-0.6423634,-0.48026498500000003,0.5058043117744611
DC_plasmacytoid,-0.5826861004113925,0.10765253518626136,-0.5643088,316,-0.595779825,-0.51459609,0.5481283422459893
CD4_TRM,-0.5404997799326348,0.09490929403460127,-0.56961825,1336,-0.61076335,-0.4890957275,0.1293588301462317
Alveolar_Type1,-0.6189233882984293,0.15743220831506735,-0.6047652,764,-0.7526851999999999,-0.4867847975,0.1157407407407407
