,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
ENSG00000111669,0.0,0.6820650164570127,0.6989295929670334,0.0,0.0,0.0,0.7284089262996402,0.7265763006040028,0.7382579956735883,0.0,0.0,0.7205339244433812,0.0,0.0,0.0,0.7484431160347802,0.0,0.0,0.7476746631520135,0.6888926029205322,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0
ENSG00000140416,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9816922140972955,0.0,0.0,0.0
ENSG00000198467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000143549,0.0,0.5966355438743319,0.5539967737027577,0.0,0.0,0.0,0.587918643440519,0.6257610406194415,0.6148983303989682,0.0,0.0,0.551835128239223,0.0,0.5471213949578149,0.0,0.5680132444415774,0.0,0.0,0.6364699176379612,0.5666409603187016,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.5699521154165268,0.5435208954981395,0.5531570357935769
ENSG00000167460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541742541960308,0.8359032209430423,0.0,0.0,0.0,0.0,0.0,0.0,0.8235410175153187,0.0,0.0,0.0,0.0,0.0,0.8858069330453873,0.0,0.8214285714285714,0.8276376468794686,0.0,0.0,0.0,0.0
ENSG00000166340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.8937989920377731,0.0,0.0,0.9022497470889773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538261358227048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977693144764219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968380229813712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133112,0.27524121744292124,0.27379957905837465,0.3150088020733425,0.36237034840243204,0.12018495798110962,0.14649680043969834,0.28184970148972105,0.2424682421343667,0.27642808003085,0.0,0.2296563025031771,0.28459673055580686,0.14980848559311458,0.3640509716102055,0.0,0.2458303166287286,0.2399954582963671,0.22173826396465302,0.25209234016282217,0.27216546876089914,0.10714285714285714,0.26016974236283985,0.1133098155260086,0.25717176284108845,0.2559908479452133,0.0,0.3080235038484846,0.2635017888886588,0.2951991323913847
ENSG00000164548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9738293141126633,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9590134365218026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.9012458920478821,0.0,0.0,0.8966593593358994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9235080863748278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9790242058890206
