,cell_type,silhouette_score
cell3194,T cell of anorectum,0.6944591913872016
cell3195,T cell of anorectum,0.7030830558319293
cell3196,T cell of anorectum,0.6048254762815148
cell3197,T cell of anorectum,0.6482011513992882
cell3198,T cell of anorectum,0.689166058467747
cell3199,T cell of anorectum,0.7081993878373044
cell3200,T cell of anorectum,0.669144911673778
cell3201,T cell of anorectum,0.6423552711875395
cell3202,T cell of anorectum,0.6737471488416265
cell3203,T cell of anorectum,0.4986210532946627
cell3204,T cell of anorectum,0.6151331274104146
cell3205,T cell of anorectum,0.654835786870981
cell3206,T cell of anorectum,0.7073327424540102
cell3207,T cell of anorectum,0.5148641485417078
cell3208,T cell of anorectum,0.6920468104174661
cell3209,T cell of anorectum,0.7157924909043527
cell3210,T cell of anorectum,0.7270982418221847
cell3211,T cell of anorectum,0.5675945274470116
cell3212,T cell of anorectum,0.6852681741143112
cell3213,T cell of anorectum,0.7416397844013077
cell3214,T cell of anorectum,0.7094967956973998
cell3215,T cell of anorectum,0.7143579022688524
cell3216,T cell of anorectum,0.7152014365069695
cell3217,T cell of anorectum,0.7289680696448818
cell3218,T cell of anorectum,0.649037523872612
cell3219,T cell of anorectum,0.6544076108181828
cell3220,T cell of anorectum,0.5135008263103045
cell3221,T cell of anorectum,0.7499172219084141
cell3222,T cell of anorectum,0.7234725149616591
cell3223,T cell of anorectum,0.6409330878585306
cell3224,T cell of anorectum,0.6985227633410925
cell3225,T cell of anorectum,0.6909483829009869
cell3226,T cell of anorectum,0.7222583495367562
cell3227,T cell of anorectum,0.6668762003299485
cell3228,T cell of anorectum,0.6346047296414712
cell3229,T cell of anorectum,0.5756886482528883
cell3230,T cell of anorectum,0.671185502947294
cell3231,T cell of anorectum,0.5633141832310322
cell3232,T cell of anorectum,0.7030886299081686
cell3233,T cell of anorectum,0.6552760885222393
cell3234,T cell of anorectum,0.702807981497897
cell3235,T cell of anorectum,0.6485277219161152
cell3236,T cell of anorectum,0.5564996223440368
cell3237,T cell of anorectum,0.7112427027865779
cell3238,T cell of anorectum,0.6049269925836878
cell3239,T cell of anorectum,0.7638805604505156
cell3240,T cell of anorectum,0.7025545605108294
cell3241,T cell of anorectum,0.7516229755508901
cell3242,T cell of anorectum,0.6374740305071944
cell3243,T cell of anorectum,0.5015804818563757
cell3244,T cell of anorectum,0.5114094804164394
cell3245,T cell of anorectum,0.6922105540448042
cell3246,T cell of anorectum,0.6960940125993913
cell3247,T cell of anorectum,0.6204415768956577
cell3248,T cell of anorectum,0.5515297971209865
cell3249,T cell of anorectum,0.6880880388049222
cell3250,T cell of anorectum,0.7342097632045358
cell3251,T cell of anorectum,0.7068383408243183
cell3252,T cell of anorectum,0.6610680387485681
cell3253,T cell of anorectum,0.5533469165520079
cell3254,T cell of anorectum,0.703557796329821
cell3255,T cell of anorectum,0.6635649046550796
cell3256,T cell of anorectum,0.6771925674324534
cell3257,T cell of anorectum,0.6443573663947922
cell3258,T cell of anorectum,0.6900403203681862
cell3259,T cell of anorectum,0.5771265828551873
cell3260,T cell of anorectum,0.5572186424706577
cell3261,T cell of anorectum,0.6467179845715137
cell3262,T cell of anorectum,0.7311985274643155
cell3263,T cell of anorectum,0.7128130846398965
cell3264,T cell of anorectum,0.5619352204289344
cell3265,T cell of anorectum,0.7330862776676411
cell3266,T cell of anorectum,0.6519805232605004
cell3267,T cell of anorectum,0.7045524983012944
cell3268,T cell of anorectum,0.6541671765356173
cell3269,T cell of anorectum,0.5627363454234684
cell3270,T cell of anorectum,0.576848835567627
cell3271,T cell of anorectum,0.5552784339793759
cell3272,T cell of anorectum,0.6754611731685188
cell3273,T cell of anorectum,0.7440505343420005
cell3274,T cell of anorectum,0.7175260853143582
cell3275,T cell of anorectum,0.7035166713988005
cell3276,T cell of anorectum,0.6672356401734529
cell3277,T cell of anorectum,0.6536969875466372
cell3278,T cell of anorectum,0.5802283629556952
cell3279,T cell of anorectum,0.5349177144806897
cell3280,T cell of anorectum,0.6233833990709465
cell3281,T cell of anorectum,0.7465620860919994
cell3282,T cell of anorectum,0.6132720303520993
cell3283,T cell of anorectum,0.6755858991633586
cell3284,T cell of anorectum,0.7002805224614641
cell3285,T cell of anorectum,0.5539644961473191
cell3286,T cell of anorectum,0.6525047599189819
cell3287,T cell of anorectum,0.7112928718757195
cell3288,T cell of anorectum,0.6795259430497252
cell3289,T cell of anorectum,0.7474949161746675
cell3290,T cell of anorectum,0.7495770863255029
cell3291,T cell of anorectum,0.5484182218413671
cell3292,T cell of anorectum,0.5860100495579517
cell3293,T cell of anorectum,0.6689710581146376
cell3294,T cell of anorectum,0.6472060566854091
cell3295,T cell of anorectum,0.6415240670543889
cell3296,T cell of anorectum,0.668505290561173
cell3297,T cell of anorectum,0.6283909934543493
cell3298,T cell of anorectum,0.7150513149154316
cell3299,T cell of anorectum,0.7235433310333272
cell3300,T cell of anorectum,0.6856776073929652
cell3301,T cell of anorectum,0.6191734546896318
cell3302,T cell of anorectum,0.5845673553321032
cell3303,T cell of anorectum,0.6367410433373537
cell3304,T cell of anorectum,0.7145016520725563
cell3305,T cell of anorectum,0.5768640285672559
cell3306,T cell of anorectum,0.6436256016660611
cell3307,T cell of anorectum,0.7026664894119161
cell3308,T cell of anorectum,0.7535007402318304
cell3309,T cell of anorectum,0.5624909435873892
cell3310,T cell of anorectum,0.7144966957700127
cell3311,T cell of anorectum,0.7406139242541263
cell3312,T cell of anorectum,0.5622703044115119
cell3313,T cell of anorectum,0.7247373706391655
cell3314,T cell of anorectum,0.6440175592038249
cell3315,T cell of anorectum,0.5330898963618438
cell3316,T cell of anorectum,0.7141954759744807
cell3317,T cell of anorectum,0.7302963997969957
cell3318,T cell of anorectum,0.5719540942208813
cell3319,T cell of anorectum,0.7148965388706927
cell3320,T cell of anorectum,0.6817769656557099
cell3321,T cell of anorectum,0.5757217913445482
cell3322,T cell of anorectum,0.5571885748436323
cell3323,T cell of anorectum,0.7108857444297595
cell3324,T cell of anorectum,0.7314995046610483
cell3325,T cell of anorectum,0.706093662569216
cell3326,T cell of anorectum,0.7335254149578813
cell3327,T cell of anorectum,0.7393957008935996
cell3328,T cell of anorectum,0.6358082261456511
cell3329,T cell of anorectum,0.5885079143100703
cell3330,T cell of anorectum,0.685585887977428
cell3331,T cell of anorectum,0.705808425848265
cell3332,T cell of anorectum,0.5867309857768321
cell3333,T cell of anorectum,0.6238631017934696
cell3334,T cell of anorectum,0.7427711600888397
cell3335,T cell of anorectum,0.557116354492965
cell3336,T cell of anorectum,0.6277884210371087
cell3337,T cell of anorectum,0.514851663597377
cell3338,T cell of anorectum,0.754947826425994
cell3339,T cell of anorectum,0.5628053983474539
cell3340,T cell of anorectum,0.6981466919102787
cell3341,T cell of anorectum,0.6629064113728762
cell3342,T cell of anorectum,0.5113293321652782
cell3343,T cell of anorectum,0.7291582505558137
cell3344,T cell of anorectum,0.5617565597856299
cell3345,T cell of anorectum,0.6633350980037996
cell3346,T cell of anorectum,0.7482743468831111
cell3347,T cell of anorectum,0.7303831060944556
cell3348,T cell of anorectum,0.64927071442095
cell3349,T cell of anorectum,0.6766124362787019
cell3350,T cell of anorectum,0.6774016154978288
cell3351,T cell of anorectum,0.5831512920183377
cell3352,T cell of anorectum,0.6098805401932165
cell3353,T cell of anorectum,0.7154641817724725
cell3354,T cell of anorectum,0.6844135883035369
cell3355,T cell of anorectum,0.6610471897000891
cell3356,T cell of anorectum,0.7079383302838704
cell3357,T cell of anorectum,0.7598342920053159
cell3358,T cell of anorectum,0.6756352847424278
cell3359,T cell of anorectum,0.5672615908225818
cell3360,T cell of anorectum,0.7529731945193758
cell3361,T cell of anorectum,0.7572833218152287
cell3362,T cell of anorectum,0.7585688557989221
cell3363,T cell of anorectum,0.62757168752507
cell3364,T cell of anorectum,0.6599953092141069
cell3365,T cell of anorectum,0.595375947980403
cell3366,T cell of anorectum,0.6848830235367726
cell3367,T cell of anorectum,0.6877986501890003
cell3368,T cell of anorectum,0.5464136533479924
cell3369,T cell of anorectum,0.7018051847471731
cell3370,T cell of anorectum,0.5251715736622026
cell3371,T cell of anorectum,0.6364714326209648
cell3372,T cell of anorectum,0.6815625997614548
cell3373,T cell of anorectum,0.5577556364421891
cell3374,T cell of anorectum,0.6820327993091484
cell3375,T cell of anorectum,0.7175487532193049
cell3376,T cell of anorectum,0.701133274643276
cell3377,T cell of anorectum,0.6405410773962499
cell3378,T cell of anorectum,0.5652973191590461
cell3379,T cell of anorectum,0.49412813877954576
cell3380,T cell of anorectum,0.7268549464177815
cell3381,T cell of anorectum,0.713498775208364
cell3382,T cell of anorectum,0.732626248960384
cell3383,T cell of anorectum,0.735607993302773
cell3384,T cell of anorectum,0.5288697362355781
cell3385,T cell of anorectum,0.7049182519759645
cell3386,T cell of anorectum,0.6102125414992521
cell3387,T cell of anorectum,0.6333155912310816
cell3388,T cell of anorectum,0.7142858161481747
cell3389,T cell of anorectum,0.7444688047404102
cell3390,T cell of anorectum,0.6856662945968705
cell3391,T cell of anorectum,0.7291218767463576
cell3392,T cell of anorectum,0.7091837998967494
cell3393,T cell of anorectum,0.6616643709374413
cell3394,T cell of anorectum,0.6093845156269605
cell3395,T cell of anorectum,0.5802124742191425
cell3396,T cell of anorectum,0.6949324749023438
cell3397,T cell of anorectum,0.6872780322730723
cell3398,T cell of anorectum,0.4627796138432358
cell3399,T cell of anorectum,0.7190454236649556
cell3400,T cell of anorectum,0.7188775575216487
cell3401,T cell of anorectum,0.664195629750478
cell3402,T cell of anorectum,0.5909103556182438
cell3403,T cell of anorectum,0.5881962475769111
cell3404,T cell of anorectum,0.5833574164801624
cell3405,T cell of anorectum,0.5675628871596523
cell3406,T cell of anorectum,0.7200576163376693
cell3407,T cell of anorectum,0.6892141688772889
cell3408,T cell of anorectum,0.683471199836627
cell3409,T cell of anorectum,0.5621232672936447
cell3410,T cell of anorectum,0.693403555959099
cell3411,T cell of anorectum,0.640317270592873
cell3412,T cell of anorectum,0.7074935517181188
cell3413,T cell of anorectum,0.6472583289408861
cell3414,T cell of anorectum,0.5476132808444286
cell3415,T cell of anorectum,0.49410821494719864
cell3416,T cell of anorectum,0.6649110757478215
cell3417,T cell of anorectum,0.6510303176751262
cell3418,T cell of anorectum,0.6590599450657165
cell3419,T cell of anorectum,0.5625598037202881
cell3420,T cell of anorectum,0.6847544544817044
cell3421,T cell of anorectum,0.6210376365706872
cell3422,T cell of anorectum,0.6679037297661714
cell3423,T cell of anorectum,0.6686458707284361
cell3424,T cell of anorectum,0.716662022597479
cell3425,T cell of anorectum,0.7164185077856425
cell3426,T cell of anorectum,0.6113728641927524
cell3427,T cell of anorectum,0.5673771488489923
cell3428,T cell of anorectum,0.6332498259509977
cell3429,T cell of anorectum,0.6904395227740642
cell3430,T cell of anorectum,0.5714220405790568
cell3431,T cell of anorectum,0.6441330283687488
cell3432,T cell of anorectum,0.5685723116932141
cell3433,T cell of anorectum,0.6160085216518639
cell3434,T cell of anorectum,0.6808525038075258
cell3435,T cell of anorectum,0.7347981120077217
cell3436,T cell of anorectum,0.6134093232522153
cell3437,T cell of anorectum,0.6272807309515344
cell3438,T cell of anorectum,0.5707091243641406
cell3439,T cell of anorectum,0.704723413819266
cell3440,T cell of anorectum,0.7611389797075545
cell3441,T cell of anorectum,0.48751908974722
cell3442,T cell of anorectum,0.6390730326928723
cell3443,T cell of anorectum,0.7371476918777256
cell3444,T cell of anorectum,0.7015598313184115
cell3445,T cell of anorectum,0.7409517168955648
cell3446,T cell of anorectum,0.7348155471479847
cell3447,T cell of anorectum,0.4459936547944128
cell3448,T cell of anorectum,0.5851818658016197
cell3449,T cell of anorectum,0.6596932429050495
cell3450,T cell of anorectum,0.6327311642646797
cell3451,T cell of anorectum,0.7100861737372482
cell3452,T cell of anorectum,0.697437551428144
cell3453,T cell of anorectum,0.6969660399718138
cell3454,T cell of anorectum,0.5892076442665239
cell3455,T cell of anorectum,0.6698708280741055
cell3456,T cell of anorectum,0.6381726566288134
cell3457,T cell of anorectum,0.6761173578948851
cell3458,T cell of anorectum,0.7471833415691672
cell3459,T cell of anorectum,0.7592140887490122
cell3460,T cell of anorectum,0.7451379380833362
cell3461,T cell of anorectum,0.7421898365908514
cell3462,T cell of anorectum,0.7015951218774197
cell3463,T cell of anorectum,0.6738235826203863
cell3464,T cell of anorectum,0.6585020457454944
cell3465,T cell of anorectum,0.6726912877078861
cell3466,T cell of anorectum,0.6773721319621657
cell3467,T cell of anorectum,0.7225032499951741
cell3468,T cell of anorectum,0.7487640989650489
cell3469,T cell of anorectum,0.6758859975410377
cell3470,T cell of anorectum,0.5894542576737807
cell3471,T cell of anorectum,0.6498358967525675
cell3472,T cell of anorectum,0.7262724138575524
cell3473,T cell of anorectum,0.6849597643030583
cell3474,T cell of anorectum,0.5722427832774432
cell3475,T cell of anorectum,0.7147116482532029
cell3476,T cell of anorectum,0.717786431225349
cell3477,T cell of anorectum,0.710916010923594
cell3478,T cell of anorectum,0.671675297045422
cell3479,T cell of anorectum,0.670587029606693
cell3480,T cell of anorectum,0.7170709956891539
cell3481,T cell of anorectum,0.6927518824104953
cell3482,T cell of anorectum,0.6472873380186748
cell3483,T cell of anorectum,0.5657355004585087
cell3484,T cell of anorectum,0.6393987036227555
cell3485,T cell of anorectum,0.607863185475512
cell3486,T cell of anorectum,0.6423921023863768
cell3487,T cell of anorectum,0.682043627206762
cell3488,T cell of anorectum,0.568314594246134
cell3489,T cell of anorectum,0.6901876928120616
cell3490,T cell of anorectum,0.6707941632857425
cell3491,T cell of anorectum,0.6652691819018226
cell3492,T cell of anorectum,0.7064176838587951
cell3493,T cell of anorectum,0.7035419176725471
cell3494,T cell of anorectum,0.7064020357243753
cell3495,T cell of anorectum,0.6906564063346021
cell3496,T cell of anorectum,0.6168131931003134
cell3497,T cell of anorectum,0.7098933475148217
cell3498,T cell of anorectum,0.6200563185942475
cell3499,T cell of anorectum,0.7343535803230539
cell3500,T cell of anorectum,0.7057101455531272
cell3501,T cell of anorectum,0.7041822967139361
cell3502,T cell of anorectum,0.5567854295059328
cell3503,T cell of anorectum,0.5587632350459151
cell3504,T cell of anorectum,0.5821144021122622
cell3505,T cell of anorectum,0.5909665066226123
cell3506,T cell of anorectum,0.7149977235435564
cell3507,T cell of anorectum,0.724059580597395
cell3508,T cell of anorectum,0.6435127742394916
cell3509,T cell of anorectum,0.6501874116930366
cell3510,T cell of anorectum,0.6707979555494036
cell3511,T cell of anorectum,0.6080602046258987
cell3512,T cell of anorectum,0.703775231930204
