,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
WIF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CADPS2,0.6546493279082435,0.6847308299371174,0.0,0.0,0.0,0.0,0.6571717091969081,0.0,0.0,0.6617455844368253,0.0,0.707476909671511,0.6431706483875003,0.0,0.0,0.6526957367147718,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.0,0.0,0.6155129500797817,0.6858186743089131,0.6478976671184812,0.0,0.6851191052368709
UBE2E2,0.0,0.0,0.6428571428571429,0.0,0.7160674716745105,0.0,0.0,0.0,0.0,0.0,0.7135583609342575,0.0,0.0,0.0,0.6849042304924556,0.0,0.6548764684370586,0.6810939120394843,0.0,0.6831137048346656,0.0,0.0,0.686588146856853,0.0,0.6440065545695168,0.6489259430340358,0.0,0.6884893966572625,0.0
PPIL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9317868947982788,0.0,0.0,0.0,0.9412864553076881,0.0
ACSS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LIMS1,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.9712927128587451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000276850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NEDD4L,0.7562342562845775,0.7567352801561356,0.0,0.0,0.0,0.721843421459198,0.0,0.0,0.7153347432613373,0.7969954077686582,0.0,0.0,0.0,0.0,0.0,0.7480379151446479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635715774127415,0.7142857142857143,0.7167503493172782,0.0,0.0
SRSF11,0.0,0.5420428663492203,0.0,0.0,0.4699810253722327,0.5299868817840304,0.6162912419864109,0.0,0.4642857142857143,0.4780316310269492,0.4778225805078234,0.0,0.49225741411958424,0.0,0.577063935143607,0.5287818291357586,0.5211891638381141,0.0,0.0,0.0,0.0,0.0,0.5971262603998184,0.0,0.5490918180772236,0.4910223590476172,0.4713516980409622,0.0,0.5244015582970211
