index,free_annotation,silhouette_score
J6_B002383.gencode.vH29,Ciliated,-0.38326842
J6_B003141.gencode.vH29,Ciliated,-0.40518793
J7_B003141.gencode.vH29,Ciliated,-0.32011014
J7_B003142.gencode.vH29,Ciliated,-0.2545012
J8_B003137.gencode.vH29,Ciliated,-0.36965135
K10_B002382.gencode.vH29,Ciliated,-0.4037549
K10_B003136.gencode.vH29,Ciliated,-0.2860159
K11_B003137.gencode.vH29,Ciliated,-0.42895368
K11_B003142.gencode.vH29,Ciliated,-0.29778692
K12_B003135.gencode.vH29,Ciliated,-0.31179896
K2_B002385.gencode.vH29,Ciliated,-0.38019592
K3_B002382.gencode.vH29,Ciliated,-0.38546702
K5_B003138.gencode.vH29,Ciliated,-0.49602318
K5_B003142.gencode.vH29,Ciliated,-0.44835845
K6_B002386.gencode.vH29,Ciliated,-0.3957854
K7_B003142.gencode.vH29,Ciliated,-0.38269627
K8_B003135.gencode.vH29,Ciliated,-0.4708431
K9_B002382.gencode.vH29,Ciliated,-0.29550922
L1_B002014.gencode.vH29,Ciliated,-0.472031
L1_B003141.gencode.vH29,Ciliated,-0.4658824
L10_B003135.gencode.vH29,Ciliated,-0.3567935
L10_B003140.gencode.vH29,Ciliated,-0.3050409
L10_B003142.gencode.vH29,Ciliated,-0.40090105
L2_B002382.gencode.vH29,Ciliated,-0.29987004
L2_B002385.gencode.vH29,Ciliated,-0.47669035
L2_B003136.gencode.vH29,Ciliated,-0.273038
L3_B002385.gencode.vH29,Ciliated,-0.29530582
L4_B002382.gencode.vH29,Ciliated,-0.34346876
L5_B002382.gencode.vH29,Ciliated,-0.44303808
L5_B003135.gencode.vH29,Ciliated,-0.29443792
L6_B002014.gencode.vH29,Ciliated,-0.42009652
L6_B003140.gencode.vH29,Ciliated,-0.30582494
L7_B003137.gencode.vH29,Ciliated,-0.38238406
L8_B003141.gencode.vH29,Ciliated,-0.49823406
L9_B003137.gencode.vH29,Ciliated,-0.37600893
L9_B003142.gencode.vH29,Ciliated,-0.3185206
M1_B003137.gencode.vH29,Ciliated,-0.32744718
M11_B002382.gencode.vH29,Ciliated,-0.46230644
M13_B002382.gencode.vH29,Ciliated,-0.45994547
M13_B002385.gencode.vH29,Ciliated,-0.30654106
M2_B002382.gencode.vH29,Ciliated,-0.3984817
M4_B002382.gencode.vH29,Ciliated,-0.47584724
M4_B003135.gencode.vH29,Ciliated,-0.41928667
M4_B003137.gencode.vH29,Ciliated,-0.286015
M4_B003140.gencode.vH29,Ciliated,-0.32253492
M5_B003136.gencode.vH29,Ciliated,-0.4782369
M5_B003137.gencode.vH29,Ciliated,-0.41286135
M6_B002382.gencode.vH29,Ciliated,-0.39987278
M6_B003142.gencode.vH29,Ciliated,-0.38279346
M7_B003136.gencode.vH29,Ciliated,-0.42115048
M9_B003135.gencode.vH29,Ciliated,-0.5037516
N1_B003141.gencode.vH29,Ciliated,-0.30043796
N10_B003136.gencode.vH29,Ciliated,-0.48564798
N10_B003137.gencode.vH29,Ciliated,-0.50607866
N10_B003141.gencode.vH29,Ciliated,-0.25839096
N13_B003135.gencode.vH29,Ciliated,-0.37726742
N14_B003140.gencode.vH29,Ciliated,-0.35428166
