,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
USP48,0.0,0.3192102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19369973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440661,0.31770292,0.0
CDC42,0.6643666,0.90017706,0.6699227,0.7303026,0.90669054,0.85376614,0.7993357,0.8365816,0.849965,0.91782385,0.81123114,0.8318362,0.765603,0.7256391,0.9287405,0.87676203,0.8152657,0.93611383,0.9882959,0.932547,0.9880549,1.0102248,0.6358378,1.1195761,1.0729017,0.8799281,0.951326,0.93367225,0.73745596,0.16954753,0.6272261,0.5972519
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.547148,0.0,0.0,1.7073121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0333796,0.0,0.0,0.66539645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.517436,0.0,0.0,1.0437884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM1A,0.0,0.32308978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13474542,0.0
HNRNPR,0.4372413,0.618247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38021576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4357044,0.44679877,0.0,0.0,0.0,0.0,0.0,0.2820217,0.0,0.0,0.0,0.5174979,0.0,0.5103698,0.24408942
E2F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06499082,0.0
RPL11,3.241613,2.6968215,3.4110112,3.224872,2.8871439,3.4441874,3.5815406,3.2002678,3.18639,3.1561131,3.1306815,3.2042096,3.0592563,3.4108205,2.9703383,2.988009,2.9777524,2.7245233,2.959128,2.501482,2.882566,2.6914868,3.0425296,2.554394,2.8276064,2.649849,2.6385527,2.7290084,2.9371936,1.7027845,2.6209111,2.4450758
ELOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840889,0.0
PITHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094783746,0.19072106
LYPLA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11122117,0.0
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23781574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.35616007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2459184,0.2227551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123381,0.0
SRSF10,0.37870803,0.7552397,0.53830993,0.38416553,0.0,0.4315682,0.50246596,0.0,0.6140052,0.41515875,0.0,0.3865523,0.0,0.4664402,0.0,0.0,0.0,0.21928954,0.40341073,0.0,0.0,0.0,0.0,0.0,0.25712976,0.32971,0.48783898,0.4952829,0.53009653,0.08574679,0.5319095,0.26852554
RCAN3,0.0,0.0,0.0,0.0,0.0,0.45982063,0.5091948,0.0,0.0,0.48175487,0.0,0.0,0.0,0.4776632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.5646372,0.8680503,0.67852646,0.7414084,0.7703719,0.6584721,0.6484658,0.69989187,0.7484691,0.6227426,0.7488221,0.7451659,0.71463203,0.63010716,0.77794945,0.770622,0.7690992,0.6638162,0.7270627,0.0,0.4882171,0.45843983,0.31520635,0.46421218,0.521508,0.7528018,0.77444446,0.8480318,0.76775646,0.14423898,0.54736775,0.42161164
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14995891,0.30509475,0.0
RUNX3,0.0,0.0,0.0,0.0,0.74418795,0.0,0.0,0.0,0.0,0.0,0.0,0.5421229,0.37343994,0.0,0.6993399,0.67149574,0.6834287,0.0,0.0,0.6578508,0.0,0.0,0.0,0.0,0.0,0.6546826,0.75373197,0.86293626,0.0,0.0,0.0,0.0
SYF2,0.46944487,0.47774693,0.45068902,0.0,0.0,0.424893,0.49597663,0.0,0.0,0.4477755,0.0,0.44757938,0.0,0.41082993,0.0,0.0,0.0,0.31047022,0.38564968,0.0,0.0,0.1635095,0.0,0.41240078,0.42921454,0.0,0.0,0.41348282,0.4841008,0.0,0.14737077,0.0
RSRP1,0.44797185,0.5253974,0.57733023,0.0,0.7510908,0.51686496,0.52103984,0.64265275,0.7624335,0.5313327,0.65173084,0.58144146,0.69411105,0.4344321,0.7356414,0.7628741,0.74600637,0.24492791,0.38152593,0.5373479,0.94944215,0.230864,0.0,0.0,0.39981148,0.88171977,0.88937074,0.7961477,0.62913716,0.10660274,0.22173291,0.111560374
TMEM50A,0.0,0.17516379,0.0,0.0,0.45444858,0.0,0.0,0.0,0.0,0.4794321,0.0,0.41744328,0.0,0.0,0.48410067,0.0,0.0,0.26724014,0.39421523,0.0,0.0,0.3715319,0.0,0.0,0.44270816,0.0,0.0,0.0,0.5125475,0.104723506,0.39691606,0.0
LDLRAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062626846,0.0
STMN1,0.0,2.2527103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1969732,0.0,0.0,0.0,0.47884092,0.0,0.0,0.0,0.0,0.0,1.0923128,0.0,0.730088,0.6363413
ZNF593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18966934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10492469,0.39101264,0.0
SH3BGRL3,1.8312352,0.9875456,1.2989719,1.0556948,1.8877232,1.5067216,1.0499711,1.8188735,2.115391,1.8903434,1.4501781,1.7980026,1.6466404,1.3287234,2.014882,1.9671681,1.5229758,1.4262816,2.1215534,1.7908683,1.3350039,2.4827628,1.4688407,2.688474,2.417983,1.3957524,1.9288235,1.7168622,1.7244544,0.29453623,0.952501,0.6641463
UBXN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30200052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD52,2.5781999,1.6827099,2.0688436,1.9528306,1.4204476,1.5459129,1.2002429,1.6898761,1.9682554,1.8420542,1.0613384,1.6333442,1.4164511,1.3381176,1.7008219,1.5538962,0.72129893,0.2549176,0.41013324,0.32945254,1.4348428,0.7241533,0.0,0.77022195,1.3590229,0.0,0.6356367,0.7831923,0.35505378,0.0,0.4171174,0.0
