,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
VAMP3,0.0,0.0,0.586338460445404,0.5749436075037176,0.6186552210287615,0.0,0.5719453204761852,0.5517069101333618,0.0,0.0,0.5454545454545454,0.0
PARK7,0.03633464466441761,0.0007130341096357865,0.0650418454950506,0.1271579157222401,0.046566215428439056,0.008839683099226519,0.01098277893933383,0.06643423709002408,0.21277997710488059,0.05509519577026367,0.0,0.11456428332762285
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENO1,0.03113535859368064,0.06767914511940697,0.16663968021219427,0.08689278906041925,0.09804273735393178,0.10007086125287143,0.056849539279937744,0.0763015638698231,0.17608698931607333,0.0,0.008070978251370516,0.102833092212677
CENPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CIROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.9602629054676403,0.0,0.0
TARDBP,0.0,0.0,0.0,0.0,0.0,0.0,0.9127418723973361,0.9090909090909091,0.0,0.0,0.0,0.0
SRM,0.0,0.0,0.6900412277741865,0.0,0.0,0.0,0.6816769784147089,0.7055859782479026,0.0,0.0,0.6363636363636364,0.6517236232757568
FBXO2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAD2L2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTRAP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.0,0.0,0.9414441910657015,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPEN-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FAM131C,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZRD1,0.0,0.0,0.5275348912585865,0.5389624996618791,0.4562790935689753,0.0,0.5219459696249529,0.48305862058292737,0.0,0.0,0.45454545454545453,0.48742152885957196
SDHB,0.0,0.0,0.3297145204110579,0.2946202971718528,0.3667162602598017,0.0,0.30098615993152966,0.2727272727272727,0.4975684718652205,0.2813790494745428,0.2831085541031577,0.3004850311712785
MRTO4,0.0,0.0,0.9124864827502858,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A2,0.7317392284219916,0.0,0.0,0.6822503263300116,0.0,0.0,0.6363636363636364,0.6766388362104242,0.0,0.0,0.0,0.6580310518091376
CAPZB,0.19175029884685169,0.20613686063072897,0.30334297635338525,0.29658997600728815,0.24293781410564075,0.10410496863451871,0.08501003005287865,0.10582534833387895,0.18508473309603604,0.03682836619290439,0.0,0.20704565806822342
MICOS10,0.14865596727891403,0.019591044295917858,0.17340476946397262,0.23879726366563278,0.0892944715239785,0.027346350929953835,0.009317446838725697,0.10136633569544012,0.26516384428197687,0.046626134352250534,0.0,0.21407842094247992
