,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
ENSG00000182117,0.0,0.0,0.0,0.0,0.0,0.0,2.2635298,0.0,0.0,0.0,0.0,0.0
ENSG00000211592,0.0,0.0,7.779805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197958,2.6429663,3.0592444,0.0,3.110677,2.37902,2.6900992,2.9913492,0.0,2.7977884,2.615516,3.186432,2.5620005
ENSG00000149273,3.367682,3.8489661,2.6196957,4.0875506,3.5701644,3.7077363,3.9457405,2.511108,3.0657198,3.2824523,4.1253805,3.633764
ENSG00000183011,0.0,0.0,0.0,2.19085,0.0,0.0,1.5827801,0.0,0.0,0.0,0.0,0.0
ENSG00000019582,3.3923461,3.4904952,0.0,2.8138494,5.470002,0.0,0.0,5.1727257,3.8840153,0.0,0.0,0.0
ENSG00000169385,2.9004393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2973788,0.0,0.0
ENSG00000116459,0.0,0.0,0.0,0.0,0.0,0.0,2.0664263,0.0,0.0,0.0,0.0,0.0
ENSG00000173812,2.9574163,2.9037163,2.886752,2.4209378,2.800687,3.0072045,2.7242525,3.4558854,3.2849236,2.6903114,2.677052,3.0275393
ENSG00000100219,0.0,0.0,2.3728392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167088,0.0,0.0,0.0,2.7229226,0.0,1.8697957,2.5764725,0.0,0.0,0.0,0.0,2.299441
ENSG00000132341,0.0,1.9861386,0.0,2.4209378,0.0,2.6417553,2.8945055,0.0,0.0,0.0,1.866786,2.511632
ENSG00000122862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6072316,0.0,0.0
ENSG00000205581,0.0,2.60472,0.0,2.2203095,0.0,0.0,2.0230935,0.0,0.0,0.0,0.0,0.0
