,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
NFYC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTPS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCMH1,0.0,0.0,0.9375,0.0,0.0,0.0,0.9511232934892178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIVEP3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXJ3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBX1,0.33211416751146317,0.3540044277906418,0.0,0.3132461979985237,0.0,0.0,0.0,0.4377455450594425,0.40539027377963066,0.4355343393981457,0.0,0.31403836235404015,0.3125,0.31629184633493423,0.4050881527364254,0.4343970827758312,0.3301936388015747
EBNA1BP2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3GAL3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V0B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6827018223702908,0.6302615068852901,0.6840480454266071,0.0,0.6328585259616375,0.0,0.0,0.625,0.6373240239918232,0.6259259209036827
RPS8,0.35991283506155014,0.28811080008745193,0.0,0.2608177736401558,0.0,0.0,0.0,0.2640676461160183,0.2799329161643982,0.2915738485753536,0.25,0.31200532242655754,0.26408300921320915,0.2825532369315624,0.3399032652378082,0.3250434994697571,0.33112872764468193
PRDX1,0.0,0.8805722333490849,0.0,0.0,0.0,0.0,0.0,0.8407782837748528,0.0,0.0,0.0,0.8416209630668163,0.0,0.0,0.8125,0.0,0.0
AKR1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608590751886368,0.0,0.0,0.9375,0.0,0.0
GPBP1L1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCRH,0.45960065349936485,0.375,0.0,0.40217573568224907,0.0,0.0,0.0,0.43469515442848206,0.3829190209507942,0.4938572533428669,0.0,0.5470197610557079,0.4082050584256649,0.0,0.5001316256821156,0.4967871457338333,0.4053790904581547
CYP4A11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRABD2B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPATA6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAF1,0.0,0.0,0.8958610109984875,0.0,0.0,0.875,0.9119315594434738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS15,0.0,0.0,0.0,0.0,0.9295367300510406,0.9013484306633472,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS15-AS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSBPL9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRDC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUT4,0.0,0.0,0.9452683627605438,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZYG11B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECHDC2,0.0,0.0,0.8909536115825176,0.0,0.0,0.875,0.9366652891039848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCP2,0.0,0.0,0.8647923432290554,0.0,0.0,0.8160169683396816,0.9315653294324875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0
