,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
B3GAT3,0.0,0.0,0.0,0.0,0.4111278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B9D1,0.0,0.0,0.0,0.0,0.3776068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BABAM1,0.0,0.0,0.38233393,0.24141167,0.42391288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,0.0,0.0,0.49732032,0.26859382,0.35352546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23383984
BAG1,0.0,0.0,0.9245292,0.69650567,0.8163501,0.0,0.0,0.5493811,0.0,0.0,0.0,0.0,0.0,0.53977144
BANF1,0.0,0.0,0.9387501,0.6451229,0.7661083,0.0,0.0,0.21371022,0.0,0.0,0.0,0.0,0.0,0.41001633
BAX,0.0,0.0,0.79785746,0.3630741,0.531667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIP1,0.0,0.0,0.0,0.22920215,0.28293794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214026
BBX,0.0,0.0,0.49273115,0.45210463,0.6409257,0.0,0.0,0.7463869,0.0,0.0,0.0,0.0,0.0,0.0
BCAM,0.0,0.0,0.56991017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCAP31,0.0,0.0,0.82680714,0.41037464,0.72062397,0.0,0.0,0.45721245,0.0,0.0,0.0,0.0,0.0,0.3403336
BCAS2,0.0,0.0,0.0,0.0,0.22533225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41114464
BCL2L1,0.0,0.0,0.0,0.24221963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL7B,0.0,0.0,0.46853828,0.310553,0.28154194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52256155
BCLAF1,0.0,0.0,0.545154,0.33875924,0.4355712,0.0,0.0,0.42051032,0.0,0.0,0.0,0.0,0.0,0.3151812
BEX1,0.0,0.0,2.1621785,1.9075947,2.4110503,0.0,0.0,2.1626945,0.0,0.0,0.0,0.0,0.0,1.4357554
BEX2,0.0,0.0,1.2082715,1.1249027,1.2046125,0.0,0.0,1.0736113,0.0,0.0,0.0,0.0,0.0,0.87818825
BEX3,0.0,0.0,1.1689996,0.88365674,1.2399982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9004487
BEX4,0.0,0.0,1.0042026,0.80259556,1.13127,0.0,0.0,0.7563897,0.0,0.0,0.0,0.0,0.0,0.8583241
